2026-06-20 12:48:18 | INFO    | monitor | run_start title=Prototype (parallel) model=claude-sonnet-4-6 arms=6 candidates_per_arm=40 train_steps=25000 run_dir=outputs\prototype
2026-06-20 12:48:37 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 12:48:38 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 12:48:42 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 12:48:45 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 12:57:07 | INFO    | monitor | candidate_done arm=random_search cand=random_search-c1 fitness=0.0022882 status=ok secs=528.402 run_done=1 run_total=240
2026-06-20 12:57:11 | INFO    | monitor | candidate_done arm=random_search cand=random_search-c0 fitness=0.000190925 status=ok secs=531.812 run_done=2 run_total=240
2026-06-20 13:05:53 | INFO    | monitor | candidate_done arm=random_search cand=random_search-c2 fitness=4.78428e-06 status=ok secs=526.062 run_done=3 run_total=240
2026-06-20 13:05:56 | INFO    | monitor | candidate_done arm=bayes_opt cand=bayes_opt-c0 fitness=0.00870097 status=ok secs=525.422 run_done=4 run_total=240
2026-06-20 13:06:16 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 13:06:17 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 13:14:36 | INFO    | monitor | candidate_done arm=distributional cand=distributional-g0-c0 fitness=0.00115117 status=ok secs=522.813 run_done=5 run_total=240
2026-06-20 13:14:41 | INFO    | monitor | candidate_done arm=scalar_cvar5 cand=scalar_cvar5-g0-c0 fitness=0.00337274 status=ok secs=525.334 run_done=6 run_total=240
2026-06-20 13:14:54 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 13:15:06 | INFO    | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-06-20 13:23:21 | INFO    | monitor | candidate_done arm=scalar cand=scalar-g0-c0 fitness=0.011015 status=ok secs=525.18 run_done=7 run_total=240
2026-06-20 13:23:27 | INFO    | monitor | candidate_done arm=placebo cand=placebo-g0-c0 fitness=0.0141565 status=ok secs=525.685 run_done=8 run_total=240
